Time:
56.72087908: Joint 0: 34.19479751586914; Joint 1: 65.69213104248047; Joint 2: -227.5; Joint 3: 708.2996826171875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.76085622: Joint 0: 34.199790954589844; Joint 1: 65.70172119140625; Joint 2: -227.5; Joint 3: 708.4031372070312; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.80082496: Joint 0: 34.204627990722656; Joint 1: 65.71101379394531; Joint 2: -227.5; Joint 3: 708.5033569335938; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.84082724: Joint 0: 34.209312438964844; Joint 1: 65.72001647949219; Joint 2: -227.5; Joint 3: 708.600341796875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.88078762: Joint 0: 34.213844299316406; Joint 1: 65.72872161865234; Joint 2: -227.5; Joint 3: 708.6942138671875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.92077313: Joint 0: 34.21822738647461; Joint 1: 65.73714447021484; Joint 2: -227.5; Joint 3: 708.7850341796875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.96074189: Joint 0: 34.22246551513672; Joint 1: 65.74528503417969; Joint 2: -227.5; Joint 3: 708.872802734375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.100071065: Joint 0: 34.226558685302734; Joint 1: 65.7531509399414; Joint 2: -227.5; Joint 3: 708.9576416015625; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.104071293: Joint 0: 34.23051452636719; Joint 1: 65.7607421875; Joint 2: -227.5; Joint 3: 709.0394897460938; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.108066492: Joint 0: 34.23432922363281; Joint 1: 65.76807403564453; Joint 2: -227.5; Joint 3: 709.1185302734375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.112066720: Joint 0: 34.238006591796875; Joint 1: 65.77513885498047; Joint 2: -227.5; Joint 3: 709.1947021484375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.116063596: Joint 0: 34.24155044555664; Joint 1: 65.78194427490234; Joint 2: -227.5; Joint 3: 709.2681274414062; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
