Time:
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.737638337037393e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 440194369; Joint 7: 2.7382521057647672e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.7388490589105696e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 444192921; Joint 7: 2.7394305977732644e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.7399967223528516e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 448188120; Joint 7: 2.7405488339477956e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.741085531259632e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 452186672; Joint 7: 2.741608215586825e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.742116886929375e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 456185224; Joint 7: 2.7426101439888174e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.7430907893620808e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 460185452; Joint 7: 2.743557421750701e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
